Description of Goods,Material Code,Qty,UOM,Yogesh,,Kothari,,
,,,,Rate,Amount,Rate,Amount,

STRAIGHT MALE CONNECTOR WITH FERRULE SS 3/ 8" X 3/ 8"
BSP
MAKE :,330504066410,20,NOS,1500,30000,125,2500,
1/ 4" BRASS FITTING WITH FERRULES & NUT
MAKE : 1/ 4" BRASS FITTING WITH FERRULES & NUT,5154040074KD,20,NOS,1500,30000,152,3040,
"1/ 2"X 1/ 4" REDUCER MALE BRASS FITTINGS
MAKE : 1/ 2" X / 4" REDUCER MALE BRASS FITTING,5302700744KS,20,NOS,1500,30000,23,460,
BRASS FERRULES 3/ 8"
MAKE : BRASS FERRULES 3/ 8",5307910624KG,50,NOS,1500,75000,25,1250,
CONNECTOR STRAIGHT- BRASS- 1/ 4 INCH
MAKE : CONNECTOR- BRASS- 1/ 4" STRAIGHT,899880206410,20,NOS,1500,30000,25,500,
REDUCER- BRASS- 1/ 4 INCH MALE X 1/ 4 INCH FEMALE- NPT
MAKE :,899882212100,20,NOS,1500,30000,54,1080,
REDUCER 3/ 8" -(M)- NPT X 1/ 2"- (F)-NPT BRASS
MAKE :,899882213000,15,NOS,1500,22500,68,1020,
REDUCER BRASS 1/ 2" MALE X 3/ 8" MALE NPT
MAKE :,899882213010,20,NOS,1500,30000,89,1780,
REDUCER- BRASS- 3/ 8"(F) X 1/ 4"(M) NPT
MAKE :,899882213110,15,NOS,1500,22500,88,1320,
 , , , ,0,0,0,0,
